       sku       asin price quantity
 ertan-154 B01GOYTAL0     0        0
 ertan-155 B07V3BS8HY     0        0
 ertan-156 B082XC6LFC     0        0
 ertan-157 B07B8YFRHB     0        0
 ertan-158 B0B7J62MV9     0        0
 ertan-159 B08DRSN628     0        0
 ertan-160 B0918Z8LC6     0        0
 ertan-161 B01KLSTVFU     0        0
 ertan-162 B09B1MWY8Z     0        0
 ertan-163 B08G4BFFH3     0        0
 ertan-164 B07MV53BS3     0        0
 ertan-165 B0000ULZXG     0        0
 ertan-166 B01NBY5G8F     0        0
 ertan-167 B08LMJB4Z1     0        0
 ertan-168 B07JWJRF1V     0        0
 ertan-169 B00USBHVRG     0        0
 ertan-170 B099Z2LR7Q     0        0
 ertan-171 B09HXY9JJD     0        0
 ertan-172 B01MRV8H06     0        0
 ertan-173 B07Z8XCM44     0        0
 ertan-174 B09WY4WNJG     0        0
 ertan-175 B07X8MHMD3     0        0
 ertan-176 B0716RJK6Y     0        0
 ertan-177 B07WLLCM4H     0        0
 ertan-178 B07WC7MVC6     0        0
 ertan-179 B071P8T37Q     0        0
 ertan-180 B00BPTOK2E     0        0
 ertan-181 B07NN3CJVP     0        0
 ertan-182 B08NDDY6ZK     0        0
 ertan-183 B07429SNT3     0        0
 ertan-184 B09J8CF6W5     0        0
 ertan-185 B081R79RNH     0        0
 ertan-186 B00J33F9RO     0        0
 ertan-187 B07K9LZY23     0        0
 ertan-188 B06VXZ2XNV     0        0
 ertan-189 B08PF48D5W     0        0
 ertan-190 B0033P960Y     0        0
 ertan-191 B00FN7WGE8     0        0
 ertan-192 B07VH73NB5     0        0
 ertan-193 B087QHSG7G     0        0
 ertan-194 B08C6RLX5T     0        0
 ertan-195 B08HCVYN2Z     0        0
 ertan-196 B09FDTW8D6     0        0
 ertan-197 B09P7GNLRJ     0        0
 ertan-198 B08MPK39JL     0        0
 ertan-199 B08B4FZXN4     0        0
 ertan-200 B095SDNZWM     0        0
 ertan-201 B08XC5ZQ3S     0        0
 ertan-202 B08R1NHBM7     0        0
 ertan-203 B0823CRYY8     0        0
 ertan-204 B08CKKSDD8     0        0
 ertan-205 B003A77GAC     0        0
 ertan-206 B093DCJ6K5     0        0
 ertan-207 B0B2DB12RN     0        0
 ertan-208 B098SG9SYX     0        0
 ertan-209 B07VLQJL65     0        0
 ertan-210 B09128VT2D     0        0
 ertan-211 B09LYV1932     0        0
 ertan-212 B07CYMYHHB     0        0
 ertan-213 B08M9C6NP6     0        0
 ertan-214 B0B76HCCMZ     0        0
 ertan-215 B08DFZYG6F     0        0
 ertan-216 B096M4Y141     0        0
 ertan-217 B092PSDYVK     0        0
 ertan-218 B0987CD38C     0        0
 ertan-219 B07GB31S79     0        0
 ertan-220 B00OZ83ZK0     0        0
 ertan-221 B07T542VJS     0        0
 ertan-222 B09MDD9VLT     0        0
 ertan-223 B07ZBCF45Z     0        0
 ertan-224 B083SJHLDD     0        0
 ertan-225 B09B8PMT55     0        0
 ertan-226 B08MKWBTY6     0        0
 ertan-227 B004TBI7Z6     0        0
 ertan-228 B073GF58G5     0        0
 ertan-229 B08GP6HK9S     0        0
 ertan-230 B09CPKGTMG     0        0
 ertan-231 B085FX6SWY     0        0
 ertan-232 B08CX7CLX4     0        0
 ertan-233 B08M9PG5LP     0        0
 ertan-234 B071DVQ2LW     0        0
 ertan-235 B09MCRVQVG     0        0
 ertan-236 B08SK3129W     0        0
 ertan-237 B07KP5W8WJ     0        0
 ertan-238 B09SHGPYN6     0        0
 ertan-239 B08JH7LMCT     0        0
 ertan-240 B07MQ9JYMD     0        0
 ertan-241 B000QJBNII     0        0
 ertan-242 B07LC2DK1F     0        0
 ertan-243 B09FSDG5YH     0        0
 ertan-244 B01MSJ6FKG     0        0
 ertan-245 B01GPNHMPG     0        0
 ertan-246 B0B2P14WMH     0        0
 ertan-247 B01CE1AM78     0        0
 ertan-248 B099K3L3G9     0        0
 ertan-249 B06XT3P1K3     0        0
 ertan-250 B09PJ7CY3X     0        0
 ertan-251 B07M6BZ4F2     0        0
 ertan-252 B08T92GVKY     0        0
 ertan-253 B0957LDGJ3     0        0
 ertan-254 B089F6MRBT     0        0
 ertan-255 B08XD7YSJ6     0        0
 ertan-256 B09XB55K93     0        0
 ertan-257 B07D4NT8GM     0        0
 ertan-258 B07GDQ8RTJ     0        0
 ertan-259 B00IMGXVL4     0        0
 ertan-260 B07HRGK252     0        0
 ertan-261 B0BBCHQ2W7     0        0
 ertan-262 B07Y9QWT5P     0        0
 ertan-263 B094R285G6     0        0
 ertan-264 B086J11C7N     0        0
 ertan-265 B07QJFTJG3     0        0
 ertan-266 B095N4T57W     0        0
 ertan-267 B08Q323FTT     0        0
 ertan-268 B08L93YPTQ     0        0
 ertan-269 B0746NB3X4     0        0
 ertan-270 B003VE16IM     0        0
 ertan-271 B08MWG1YH7     0        0
 ertan-272 B07T3W6WDT     0        0
 ertan-273 B09ZDZ92GZ     0        0
 ertan-274 B07DYM7HLS     0        0
 ertan-275 B07WZGCGKS     0        0
 ertan-276 B08319KF76     0        0
 ertan-277 B07BGSCMGJ     0        0
 ertan-278 B001VZ8QMW     0        0
 ertan-279 B08TBST6NW     0        0
 ertan-280 B091NL3ZZQ     0        0
 ertan-281 B08LV3J45M     0        0
 ertan-282 B08DXYJ29L     0        0
 ertan-283 B0011451LM     0        0
 ertan-284 B097LVT9RL     0        0
 ertan-285 B0836C65KV     0        0
 ertan-286 B09SWXGC7J     0        0
 ertan-287 B00JDRS0D0     0        0
 ertan-288 B07PPZHRXL     0        0
 ertan-289 B01J927NY0     0        0
 ertan-290 B07LBTVXCK     0        0
